Wavelength (nm),Intensity (a.u.)
400.0,1.0645731152490145
401.0033444816053,8.60982573502772
402.0066889632107,-3.8487123037387545
403.01003344481603,5.180527471725881
404.0133779264214,0.5611271443982037
405.01672240802674,-7.040745454339791
406.0200668896321,-3.158007242845355
407.02341137123744,0.7239528739776486
408.0267558528428,1.3236089696678917
409.03010033444815,-1.6069090370316466
410.03344481605353,3.369348387317991
411.03678929765886,9.051553753295236
412.04013377926424,2.4085015252135866
413.04347826086956,-1.75220909381734
414.0468227424749,-1.6950268407182265
415.05016722408027,2.414082071279466
416.0535117056856,-7.938892925521763
417.056856187291,-2.6038290008500056
418.0602006688963,-2.121775669094997
419.0635451505017,2.5457641185192212
420.066889632107,-1.8510512031587378
421.0702341137124,7.436864494372866
422.0735785953177,-3.4565288391442777
423.0769230769231,-4.96749679921654
424.0802675585284,-7.610038715564411
425.0836120401338,-7.594061650568244
426.0869565217391,1.4541305256683434
427.0903010033445,4.037771551860944
428.09364548494983,-8.392275515056458
429.09698996655516,1.4851670673945367
430.10033444816054,-2.283115348318994
431.10367892976586,8.403848411147301
432.10702341137124,-3.8026941985727305
433.11036789297657,4.417191749338297
434.11371237458195,1.2620332389948972
435.1170568561873,-0.38124921219962804
436.12040133779266,-3.22071669148066
437.123745819398,-1.4850522047602397
438.12709030100336,-3.812903595686193
439.1304347826087,-4.412188161035221
440.13377926421407,7.834772375053502
441.1371237458194,-6.029913347056073
442.1404682274248,-2.1317043387988006
443.1438127090301,-8.412370413238635
444.1471571906354,-1.046145531449411
445.1505016722408,0.11527100916104113
446.15384615384613,-4.841458087854313
447.1571906354515,0.13251661983295254
448.16053511705684,-0.313374853677104
449.1638795986622,4.962770213297904
450.16722408026754,-2.6067990980195415
451.1705685618729,-5.74596815990614
452.17391304347825,-4.7720254694623145
453.17725752508363,9.331659910209046
454.18060200668896,6.6784520472923266
455.18394648829434,0.5656298540114693
456.18729096989966,-0.5517066490526132
457.19063545150505,-1.4554691905495476
458.19397993311037,6.2370945832777265
459.1973244147157,5.897408863603845
460.2006688963211,6.489717803382928
461.2040133779264,0.5476217566977771
462.2073578595318,-3.6056472327339026
463.2107023411371,-0.7857481613263357
464.2140468227425,12.316167824537914
465.2173913043478,2.1855077916689227
466.2207357859532,3.862982058348684
467.2240802675585,3.214287644055198
468.2274247491639,-0.8728956233949159
469.2307692307692,3.6899563922974536
470.23411371237455,-6.53500540488999
471.23745819397993,-1.7075343018325233
472.2408026755853,9.049859318190645
473.24414715719064,9.218844949837683
474.24749163879596,-0.2438964910953869
475.25083612040135,15.459189847486957
476.25418060200667,5.1652729197982
477.25752508361205,0.40030358107179964
478.2608695652174,7.220766802334698
479.26421404682276,7.434265166818605
480.2675585284281,2.5018612410743177
481.27090301003346,9.9698363139136
482.2742474916388,11.807950858681526
483.27759197324417,17.109551914388824
484.2809364548495,13.30142536258503
485.2842809364548,17.887858044839575
486.2876254180602,24.45239498164864
487.2909698996656,33.56660544223211
488.2943143812709,32.0188383367822
489.29765886287623,37.52605780505481
490.3010033444816,41.0120909888558
491.30434782608694,51.30268347787681
492.3076923076923,62.84482938293089
493.31103678929765,73.18296014074876
494.314381270903,71.44764881816008
495.31772575250835,71.01276693079966
496.3210702341137,88.52137052927209
497.32441471571906,94.18645393166638
498.32775919732444,106.2793051070574
499.33110367892976,117.82439099923756
500.3344481605351,110.67004035884314
501.33779264214047,128.27745113739687
502.34113712374585,131.65439051502622
503.3444816053512,150.38519306622126
504.3478260869565,147.20036257465512
505.3511705685619,169.34697528012504
506.3545150501672,176.28731807014367
507.3578595317726,178.69631679474577
508.3612040133779,183.58090860355037
509.3645484949833,195.2156994239796
510.3678929765886,208.24211870630717
511.37123745819395,203.8998720624903
512.3745819397993,209.97677014651373
513.3779264214047,217.21300604277204
514.3812709030101,216.96023785008973
515.3846153846154,216.21371359092427
516.3879598662207,222.53513138181162
517.3913043478261,221.39633400071077
518.3946488294314,227.71286620022502
519.3979933110368,221.1565022626111
520.4013377926422,225.2222634695562
521.4046822742475,220.75432333858424
522.4080267558528,220.18022279320047
523.4113712374582,209.94060702208571
524.4147157190636,203.59922792288788
525.4180602006688,199.54854517692675
526.4214046822742,197.87073433133028
527.4247491638796,180.7000974954416
528.428093645485,183.69205132411284
529.4314381270904,171.55848431411533
530.4347826086956,167.42956319366166
531.438127090301,149.78330552075815
532.4414715719064,143.57496118677412
533.4448160535117,126.88778879169185
534.448160535117,134.7508014373409
535.4515050167224,126.09112674402543
536.4548494983278,110.2650382814686
537.4581939799331,93.00208346944095
538.4615384615385,96.9914275329587
539.4648829431438,86.14684274584181
540.4682274247491,84.20682050137495
541.4715719063545,76.20967589191423
542.4749163879599,68.30468369051019
543.4782608695652,58.5448366922616
544.4816053511706,51.22707229482882
545.4849498327759,54.96671449522716
546.4882943143813,39.2871171481174
547.4916387959867,37.70385474210903
548.4949832775919,29.397070423750456
549.4983277591973,39.031254361913646
550.5016722408027,17.866656386425134
551.5050167224081,26.34551914716734
552.5083612040133,22.619853654783363
553.5117056856187,23.523033064515147
554.5150501672241,11.470073385490085
555.5183946488294,16.560603217285394
556.5217391304348,13.195031976567156
557.5250836120401,11.751592037367814
558.5284280936455,11.4084559401653
559.5317725752509,10.158945767592094
560.5351170568562,1.9390993273537598
561.5384615384615,8.007453585545493
562.5418060200669,-2.7135775656773093
563.5451505016722,0.9824172744602935
564.5484949832776,4.7728901103597705
565.551839464883,-9.341750146914128
566.5551839464883,6.689953322173265
567.5585284280936,2.2398685847821675
568.561872909699,-1.8027709114170243
569.5652173913044,-3.042283568720368
570.5685618729096,5.288709868996999
571.571906354515,0.4075643616099808
572.5752508361204,6.4523442560296145
573.5785953177258,-0.24951569399461093
574.5819397993312,13.965495451063884
575.5852842809364,-1.9521154950730255
576.5886287625418,1.7338286782403327
577.5919732441472,-0.9152591167336905
578.5953177257525,1.0710832602328368
579.5986622073578,1.281070487275953
580.6020066889632,-6.566306512017507
581.6053511705686,-2.7674352297910225
582.6086956521739,2.114664959777301
583.6120401337793,2.3595889428177514
584.6153846153846,-9.341999511312409
585.6187290969899,4.566297682164504
586.6220735785953,8.974282769825349
587.6254180602007,-9.887248793959667
588.628762541806,-4.783774131114484
589.6321070234114,5.100402811052271
590.6354515050167,-0.8749546284055106
591.6387959866221,3.365951452284354
592.6421404682274,-5.181809829013136
593.6454849498327,-7.319106091179796
594.6488294314381,4.714175776773486
595.6521739130435,5.703698206429674
596.6555183946489,0.7841697371032833
